Bedrooms,Building_exp,Comment,Cook_Replaced,Cooling,Cooling_Rooms,Cost_Cooling,Cost_DP,Cost_Door,Cost_Emitters,Cost_HP,Cost_Install,Cost_LI,Cost_TS,Cost_WI,Cost_Window,Date_Contact,Date_Installation,Date_Survey,Delivery_Contractor,Elec_currentuse,EmployStatus,EmployType,EstCost_Ancillary,EstCost_Etariff,EstCost_Gtariff,EstCost_Running,EstCost_System,Existing_Cooking,Existing_Fires,Financial_exp,Fires_replaced,Floor_Height,Floor_Type,Future_exp,GSHP_Space,Gas_currentuse,Gas_disconnect,Glazed_Type,HP_Aesthetic,HP_Awareness,HP_Brand,HP_Control_Zones,HP_Installed,HP_Installed_Detail,HP_Model,HP_NoRec_R1,HP_NoRec_R2,HP_Noise,HP_Recommend,HP_Refrigerant,HP_Size_kW,Habitable_Rooms,Heat_Primary_Source,Heat_Secondary_Source,Heated_rooms,HouseIncome,House_Age,House_Env,House_Form,House_SAP,House_Type,Install_time_HP,Install_time_measures,MCS_DHWAnnual,MCS_Flow_Temp,MCS_Hloss,MCS_Immersion,MCS_SCOP,MCS_SHAnnual,MCS_SHLoad,Main_Fuel,Mains_Gas_Flag,Measures_DP,Measures_Doors,Measures_Fanassist,Measures_Loft,Measures_Recommend,Measures_WI,Measures_Windows,Measures_emitters_LT,Measures_emitters_Std,Name_Install,Name_Survey,No_Adults,No_Child,No_Storeys,No_Underfloor,Other_exp,Outside_Access,Outside_Space,Part_Install_Decision,Part_No_Reason1,Part_No_Reason2,Participant_Age,Planned_exp,Postcode_1,Property_ID,Reason_Building,Reason_Financial,Reason_Future,Reason_Other,Reason_Planned,Reason_Replacement,Reason_Research,Reason_Sustainability,Reason_Technology,Reason_Upgrade,Replacement_exp,Research_exp,Roof_Type,Social_Group,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,Sustainability_exp,TS_Existing,TS_Existing_Size,TS_PCM_Size,TS_Type,TS_Water_Size,Technology_exp,Tenure,Tenure_Length,Total_Floor_Area,Upgrade_exp,Wall_Type,usmart_id
3,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-07-14T00:00:00.000Z,null,14/07/2020,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,1,0,null,null,2.5,Suspended,null,null,null,null,Double,null,5,null,null,null,null,null,Practical_SpaceExternal,null,null,None - Installation not recommended,null,null,6,Gas Boiler - Combi,None,10,"50,001+",1930 - 1949,Urban,Mid-Terrace,null,House,null,null,null,null,null,null,null,null,null,Gas,Yes,null,null,null,null,null,null,null,null,null,null,Pacifica,2,0,2,0,null,No,No,null,null,null,null,null,NE3,EOH1350,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,null,null,Pitched,AB,No,No,No,No,null,None,null,null,null,null,null,Owner-Occupied,null,151,null,Cavity_No_insulation,"V4ZOh4sBvqZCst4RZtPN"
5,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-07-09T00:00:00.000Z,null,24/07/2020,E.ON,700,Working Full time (>30hrs),Manager,null,null,null,null,null,1,0,null,null,2.6,Suspended,null,null,750,null,Double,null,3,null,null,null,null,null,Technical_Size,null,null,None - Installation not recommended,null,null,7,Gas Boiler - Standard,None,10,"40,001 - 50,000",1930 - 1949,Suburban,Semi-Detached,null,House,null,null,null,null,null,null,null,null,null,Gas,Yes,null,null,null,null,null,null,null,null,null,null,E.ON,4,0,3,0,null,No,No,null,null,null,59,null,NE4,EOH1657,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,null,null,Pitched,AB,No,No,No,No,null,Water,null,null,null,null,null,Owner-Occupied,28,135,null,Cavity_Insulated,"dIZOh4sBvqZCst4RZtPN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-07-14T00:00:00.000Z,null,11/08/2020,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,null,null,null,null,Practical_SpaceExternal,null,null,None - Installation not recommended,null,null,null,null,null,null,"50,001+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,null,null,null,52,null,NE3,EOH2095,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,null,null,null,AB,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,15,null,null,null,"s4ZOh4sBvqZCst4RZtPN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-07-14T00:00:00.000Z,null,11/08/2020,E.ON,null,Unfit for work,Unemployed/Benefits,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"16,201 - 20,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_SpaceExternal,null,54,null,NE3,EOH1831,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,null,null,null,C1,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,12,null,null,null,"toZOh4sBvqZCst4RZtPN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-07-16T00:00:00.000Z,null,null,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"25,001 - 30,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37,null,NE13,EOH2850,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,null,null,null,C1,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,0.9,null,null,null,"yYZOh4sBvqZCst4RZtPN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-07-24T00:00:00.000Z,null,10/11/2020,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"40,001 - 50,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,other,null,28,null,NE5,EOH0296,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,null,null,null,AB,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,1,null,null,null,"84ZOh4sBvqZCst4RZtPN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-07-31T00:00:00.000Z,null,null,E.ON,null,Working Full time (>30hrs),Manager,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"50,001+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62,null,NE3,EOH0216,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,null,null,null,AB,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,16,null,null,null,"_oZOh4sBvqZCst4RZtPN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-08-03T00:00:00.000Z,null,null,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"50,001+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36,null,NE12,EOH1145,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,null,null,null,AB,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,6,null,null,null,"FIZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-08-04T00:00:00.000Z,null,17/09/2020,E.ON,null,Working Full time (>30hrs),Professional,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"40,001 - 50,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,33,null,NE6,EOH3100,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,null,null,null,AB,null,null,null,null,null,null,null,null,null,null,null,Owner-Occupied,3,null,null,null,"FoZOh4sBvqZCst4RZtTN"
null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-08-11T00:00:00.000Z,null,02/09/2020,E.ON,null,Retired,Pensioner,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"30,001 - 40,000",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Phoenix,null,null,null,null,null,null,null,No,Practical_DisruptionWorks,null,64,null,NE15,EOH0644,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,null,null,null,DE,null,null,null,null,null,null,null,null,null,null,very comitted to renewable energy,Owner-Occupied,6,null,null,null,"LoZOh4sBvqZCst4RZtTN"
